login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
orta,react-tabs,2021-08-05T08:30:44Z,1,1,JavaScript,True,False,mit
orta,next.js,2020-01-18T19:13:21Z,1,2,JavaScript,True,False,mit
orta,gatsby,2017-12-23T21:37:42Z,2,3,JavaScript,True,False,mit
orta,ws,2021-07-31T07:47:35Z,0,1,JavaScript,True,True,mit
orta,playground-typescript-json-schema,2021-07-28T13:09:04Z,13,2,TypeScript,True,True,
orta,structured-types,2021-07-24T12:05:36Z,0,1,TypeScript,True,True,
orta,gatsby-twoslash-shiki-blog,2020-04-10T13:27:49Z,3,3,JavaScript,True,True,mit
orta,rematch,2021-07-08T11:00:04Z,1,1,TypeScript,True,False,mit
orta,markdown-magic-inline-types,2021-07-03T21:42:09Z,12,2,JavaScript,True,True,
orta,Crosslns,2021-07-03T13:03:08Z,1,1,Python,True,True,ofl-1.1
orta,vscode-typescript-dev,2019-07-11T16:21:14Z,8,2,TypeScript,True,True,
orta,patch-package,2021-06-30T13:55:57Z,0,1,TypeScript,True,True,mit
orta,deno,2021-06-24T16:07:42Z,0,1,Rust,True,True,mit
orta,GIFs,2013-01-20T05:26:04Z,602,20,Objective-C,True,True,other
orta,throwaway-gjs-example,2020-12-14T15:22:09Z,1,3,JavaScript,True,True,
orta,meson,2021-06-19T12:26:03Z,0,1,Python,True,True,apache-2.0
orta,compiler-error-messages,2021-02-10T17:06:06Z,0,3,JavaScript,False,False,
orta,mini-typescript,2021-06-07T17:09:50Z,1,1,TypeScript,True,True,mit
orta,sourcegraph-typescript,2021-06-10T14:56:58Z,1,1,TypeScript,True,False,mit
orta,lumeland.github.io,2021-06-10T13:34:30Z,0,1,JavaScript,True,False,mit
orta,FakeDTRepo,2021-05-24T14:03:09Z,1,2,,True,True,mit
orta,notes_2,2021-06-02T13:56:12Z,0,2,,True,True,
orta,vscode-twoslash,2020-08-26T14:23:57Z,3,3,TypeScript,True,True,
orta,vscode-react-native-storybooks,2016-09-30T12:41:58Z,165,5,TypeScript,True,True,mit
orta,spicetify-cli,2021-05-20T10:11:54Z,0,1,JavaScript,True,True,gpl-3.0
orta,tsc-cli-example,2021-04-15T12:02:12Z,5,2,TypeScript,True,True,mit
orta,twitter-sponsors-api,2021-05-11T10:13:09Z,3,2,CSS,True,True,
orta,github-sponsors-twitter-webhook,2020-09-15T22:51:21Z,1,3,TypeScript,True,True,
orta,playground-ts-scanner,2021-04-02T21:14:55Z,10,3,TypeScript,True,True,
orta,ts-analyze-trace,2021-03-27T08:00:04Z,0,2,TypeScript,True,True,mit
orta,specs-repo-git-scanner,2021-04-19T13:08:03Z,9,2,JavaScript,True,True,
orta,octokit-playground,2021-02-15T15:09:08Z,2,4,JavaScript,True,True,
orta,asciinema,2021-04-15T14:18:41Z,0,1,Python,True,True,gpl-3.0
orta,esbuild-jest-ex,2021-04-15T00:21:39Z,3,2,TypeScript,True,True,
